/u/shawntan/.conda/envs/dist/lib/python3.9/site-packages/haiku/_src/data_structures.py:37: FutureWarning: jax.tree_structure is deprecated, and will be removed in a future release. Use jax.tree_util.tree_structure instead.
  PyTreeDef = type(jax.tree_structure(None))
/u/shawntan/.conda/envs/dist/lib/python3.9/site-packages/chex/_src/pytypes.py:37: FutureWarning: jax.tree_structure is deprecated, and will be removed in a future release. Use jax.tree_util.tree_structure instead.
  PyTreeDef = type(jax.tree_structure(None))
I0823 14:41:47.061769 22398207461184 xla_bridge.py:328] Unable to initialize backend 'tpu_driver': NOT_FOUND: Unable to find driver in registry given worker: 
I0823 14:41:47.297060 22398207461184 xla_bridge.py:328] Unable to initialize backend 'rocm': NOT_FOUND: Could not find registered platform with name: "rocm". Available platform names are: CUDA Interpreter Host
I0823 14:41:47.297404 22398207461184 xla_bridge.py:328] Unable to initialize backend 'tpu': module 'jaxlib.xla_extension' has no attribute 'get_tpu_client'
/u/shawntan/.conda/envs/dist/lib/python3.9/site-packages/haiku/_src/data_structures.py:144: FutureWarning: jax.tree_flatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_flatten instead.
  leaves, treedef = jax.tree_flatten(tree)
/u/shawntan/.conda/envs/dist/lib/python3.9/site-packages/haiku/_src/data_structures.py:145: FutureWarning: jax.tree_unflatten is deprecated, and will be removed in a future release. Use jax.tree_util.tree_unflatten instead.
  return jax.tree_unflatten(treedef, leaves)
{'train_loss': 0.6964544057846069, 'valid_loss': 0.6903354525566101, 'step': 499, 'valid_accuracy': 0.52734375, 'train_accuracy': 0.453125}
{'train_loss': 0.6938318610191345, 'valid_loss': 0.6945724487304688, 'step': 999, 'valid_accuracy': 0.515625, 'train_accuracy': 0.484375}
{'train_loss': 0.6932600736618042, 'valid_loss': 0.6923350691795349, 'step': 1499, 'valid_accuracy': 0.505859375, 'train_accuracy': 0.529296875}
{'train_loss': 0.6905285120010376, 'valid_loss': 0.6954514980316162, 'step': 1999, 'valid_accuracy': 0.47265625, 'train_accuracy': 0.51171875}
{'train_loss': 0.6938274502754211, 'valid_loss': 0.6945797204971313, 'step': 2499, 'valid_accuracy': 0.474609375, 'train_accuracy': 0.486328125}
{'train_loss': 0.688747227191925, 'valid_loss': 0.6944889426231384, 'step': 2999, 'valid_accuracy': 0.50390625, 'train_accuracy': 0.544921875}
{'train_loss': 0.6942003965377808, 'valid_loss': 0.6936476230621338, 'step': 3499, 'valid_accuracy': 0.5234375, 'train_accuracy': 0.525390625}
{'train_loss': 0.6933883428573608, 'valid_loss': 0.6946497559547424, 'step': 3999, 'valid_accuracy': 0.4765625, 'train_accuracy': 0.5078125}
{'train_loss': 0.6949020624160767, 'valid_loss': 0.6950986385345459, 'step': 4499, 'valid_accuracy': 0.470703125, 'train_accuracy': 0.482421875}
{'train_loss': 0.5499438047409058, 'valid_loss': 0.6949001550674438, 'step': 4999, 'valid_accuracy': 0.466796875, 'train_accuracy': 0.671875}
{'train_loss': 0.693202018737793, 'valid_loss': 0.6925782561302185, 'step': 5499, 'valid_accuracy': 0.544921875, 'train_accuracy': 0.494140625}
{'train_loss': 0.7014572024345398, 'valid_loss': 0.6924540996551514, 'step': 5999, 'valid_accuracy': 0.517578125, 'train_accuracy': 0.443359375}
{'train_loss': 0.6960324048995972, 'valid_loss': 0.6935594081878662, 'step': 6499, 'valid_accuracy': 0.49609375, 'train_accuracy': 0.466796875}
{'train_loss': 0.6933902502059937, 'valid_loss': 0.6965281963348389, 'step': 6999, 'valid_accuracy': 0.45703125, 'train_accuracy': 0.509765625}
{'train_loss': 0.6928901672363281, 'valid_loss': 0.6942671537399292, 'step': 7499, 'valid_accuracy': 0.505859375, 'train_accuracy': 0.490234375}
